Orsz g;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Albania;617,2304355;336,5869945;200,8522198;367,2792251;586,4161351;750,6044492;1009,977111;717,3800477;813,7893966;1033,242532;1126,68334;1281,659826;1425,124219;1846,120121;2373,581292;2673,787816;2972,743621;3595,038295;4370,539716;4114,134033;4094,349686;4437,141161;4247,631343;4413,063383;4578,633208;3952,803574;4124,05539;4531,032207;5365,489347;5460,428237;5370,778623;6413,283286;6846,426143;8575,171134
Andorra;19563,65747;19533,26207;20099,53522;15916,83952;15748,53075;18443,25452;19130,15972;18247,99957;18536,50843;18875,28837;21810,24874;23511,29515;26528,13016;34063,5784;39021,12781;40829,80188;43467,21099;48336,22833;49132,51571;43975,01837;42746,83095;46657,15612;41500,54358;42470,31612;44369,65969;38654,93472;40129,8192;40672,99433;42819,77458;41257,80458;37361,09007;42425,69968;42414,05901;46812,44845
Austria;21596,06822;22323,13125;24782,71188;23987,20372;25546,24605;30207,06743;29645,94513;26571,75236;27212,46429;27078,70816;24487,29747;24430,49598;26334,86222;32110,11597;36614,25065;38157,37023;40382,20783;46622,96229;51581,39824;47857,44466;46611,13934;51116,89535;48250,40591;50305,35458;51314,97226;43915,22802;45061,49939;47163,74258;51194,07498;49885,99474;48716,40989;53648,71907;52176,66491;56033,57379
Belarus;1706,640919;1805,455925;1658,086413;1589,510113;1460,007914;1370,699914;1452,507105;1396,657187;1511,259791;1210,587439;1276,280381;1244,373185;1479,380663;1819,526531;2378,337005;3126,071767;3848,223503;4735,481076;6376,175692;5352,488092;6034,678852;6527,659343;6953,215917;7998,080205;8341,290143;5967,06856;5039,775609;5785,533977;6360,053101;6837,768321;6542,86454;7489,718947;7994,648061;7829,053137
Belgium;20600,37528;21041,66065;23372,61917;22283,93602;24208,55479;28413,82644;27489,55518;24820,93805;25338,44329;25252,80191;23098,88651;23015,07126;25006,1914;30655,20927;35429,40779;36809,70134;38705,1068;44319,16545;48303,39796;44923,34001;44197,39367;47760,82988;44874,17092;46964,59468;47995,7787;40893,80454;41854,54983;44035,32394;47487,21004;46716,62275;45906,28758;51655,78833;50807,20471;54700,90932
Bulgaria;2366,529821;1267,734375;1211,980878;1278,525114;1148,494399;2259,259226;1470,192593;1361,409384;1820,448664;1659,718611;1621,262107;1770,907049;2092,982886;2719,494369;3389,687434;3899,825963;4523,146558;5888,776852;7271,303389;6988,273163;6863,667068;7857,16707;7430,73738;7687,713682;7912,274844;7078,860323;7570,931655;8381,881346;9436,144799;9838,60059;10198,53883;12274,0776;13644,20158;15885,53913
Bosnia and Herzegovina;1742,882622;1373,371045;1118,175699;929,8721187;337,090896;502,365981;718,9337971;913,8133991;1006,704797;1134,60298;1338,480596;1387,893651;1606,546722;2033,947009;2452,686168;2739,610769;3166,128653;3931,489487;4841,693119;4539,918638;4506,478285;4982,693758;4693,788991;5034,56616;5206,065583;4662,258837;4928,566525;5345,019855;6047,845843;6122,375345;6130,311332;7295,343824;7655,59421;8638,666202
Switzerland;39574,53981;39544,49468;40713,68815;39237,11866;43091,7771;50113,83212;48092,6433;41584,44178;42680,58673;41695,69129;38865,02194;39638,79111;42458,73847;49335,74563;54659,45715;56242,89336;59011,03246;64989,15533;74175,19279;71568,31239;76531,37294;90476,75897;85836,20768;87304,33058;88724,99094;83806,4476;82153,07454;82254,37693;85217,36915;84121,93103;85897,78433;93446,43445;93245,79521;99564,71003
Cyprus;9641,575195;9696,099609;11310,07227;10526,1416;11617,69238;15261,41699;15139,2207;14234,24121;15092,82813;15287,91797;14388,35254;14821,44922;16093,21582;20252,24609;23792,61914;24959,26172;26729,28125;31244,87891;35397,29688;32236,44922;31105,02734;32485,79688;28991,93555;27797,45703;27244,35156;23487,22852;24715,1543;26696,99023;29599,98633;29703,05273;28649,01563;33734,29297;33938,94531;36551,41797
Czechia;3969,367335;2917,086555;3396,709724;3984,146344;4663,286653;5865,294606;6573,196431;6069,387624;6526,596358;6377,621108;6062,921528;6669,074948;8101,260186;9852,456779;11782,55467;13442,49163;15259,07882;18452,65328;22774,70451;19817,42158;20160,43551;22049,10808;20014,0354;20260,4955;20038,41632;17931,59877;18753,96867;20913,19763;23705,93298;24062,719;23472,89155;27696,46195;28282,22367;31591,17707
Germany;22385,67783;23443,33508;26559,85439;25616,65088;27201,95936;31747,24494;30599,7891;27046,95655;27395,94406;26965,49228;23925,85599;23878,36415;25486,5942;30711,10225;34566,73591;35084,43635;36980,33499;42350,92172;46386,32959;42487,21371;42409,9357;47646,58204;44735,58823;47220,01021;48971,08247;41911,01099;42961,03569;45526,59996;48874,8595;47623,86561;47379,76519;52265,65416;49686,11546;54343,22651
Denmark;26885,69942;27002,80577;29579,49136;27581,72411;29967,83039;35321,09808;35621,98781;32779,87905;33346,48843;33426,23811;30722,02518;30768,47755;33257,16226;40519,09749;46625,0501;48925,80767;52119,1788;58631,65664;64616,66576;58412,74724;58104,54456;61809,7379;58443,77471;61377,59406;62520,45097;53094,01336;54500,92604;57521,5515;61324,7665;59404,26632;60985,48856;69727,98737;68091,31911;68453,87693
Finland;28366,20428;25488,84505;22320,11247;17588,67817;20278,2911;26246,27432;25756,67771;24682,29083;25999,98617;26180,41286;24335,92251;24965,203;26989,38926;32920,08572;37768,13342;39049,87038;41214,01878;48473,02401;53769,47262;47478,34953;46506,2919;51060,32426;47551,67408;49691,01452;50073,77608;42560,34568;43451,25624;46085,01747;49654,2497;48358,18078;48828,68469;53099,13514;50438,4754;52925,68976
France;21586,46746;21500,77784;23615,01686;22238,82506;23359,89851;26791,8152;26757,63515;24169,40081;24869,40308;24576,31523;22340,59395;22331,79483;24144,5727;29479,52221;33644,92822;34696,37183;36431,56589;41486,19078;45464,81814;41728,08842;40694,82117;43929,78409;40863,58144;42669,17951;43148,04593;36702,43237;37024,21571;38687,16264;41418,17665;40408,28486;39169,8606;43725,09995;41082,81193;44690,93454
Spain;13795,01594;14801,32262;16100,67994;13330,37982;13405,70441;15460,91103;16100,62158;14722,37176;15382,33486;15707,94731;14743,2671;15368,2338;17111,06851;21522,0171;24925,02678;26450,95301;28421,68653;32652,01559;35603,24833;32279,82085;30658,74223;31824,62191;28456,44382;29218,91052;29694,88749;25969,83831;26740,68518;28367,93926;30592,12648;29776,20115;27230,35999;30817,68286;30287,36576;33509,0128
